"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
12425501,1429,21184200,"Entire home/apt",NA,"Boston",NA,"North End",58,4.5,7,3,NA,125,NA,"Authentic 3 bed; walk to TD Garden, in North End",2017-07-10 16:18:35,42.366314,-71.057978,"0101000020E6100000CD785BE9B5C351C092088D60E32E4540"
4698367,1429,2935501,"Entire home/apt",NA,"Boston",NA,"West Roxbury",91,5,4,2,NA,132,NA,"Beautiful 2BD / 1 BA - 2nd Floor",2017-07-10 16:18:32,42.277956,-71.161808,"0101000020E6100000CB0EF10F5BCA51C00EDDEC0F94234540"
15140520,1429,1639654,"Entire home/apt",NA,"Boston",NA,"Back Bay",54,4.5,2,0,NA,140,NA,"Classic Boston Back Bay Designer Studio",2017-07-10 16:18:32,42.351538,-71.088382,"0101000020E610000086E3F90CA8C551C08FA67A32FF2C4540"
7910223,1429,30490577,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",117,5,4,2,NA,130,NA,"Charming Apartment, Jamaica Plain",2017-07-10 16:18:32,42.315923,-71.09958,"0101000020E61000007CD5CA845FC651C0F086342A70284540"
8271384,1429,43613912,"Entire home/apt",NA,"Boston",NA,"South Boston Waterfront",161,5,2,0,NA,121,NA,"Bright & Open Studio by Convention Center",2017-07-10 16:18:32,42.343056,-71.051731,"0101000020E61000001F4C8A8F4FC351C029594E42E92B4540"
766700,1429,3637081,"Entire home/apt",NA,"Boston",NA,"North End",311,4.5,2,1,NA,125,NA,"Under the Light of Old North Church",2017-07-10 16:18:32,42.366393,-71.055369,"0101000020E6100000950D6B2A8BC351C0DE3D40F7E52E4540"
2747654,1429,2356643,"Entire home/apt",NA,"Boston",NA,"Downtown",105,4,3,0,NA,128,NA,"Nice Furnished Apt by Theater District",2017-07-10 16:18:32,42.350332,-71.065003,"0101000020E610000015C9570229C451C0035FD1ADD72C4540"
14808631,1429,1846434,"Entire home/apt",NA,"Boston",NA,"Back Bay",57,4.5,4,0,NA,124,NA,"Dream Boston location: Back Bay & Newbury Street",2017-07-10 16:18:31,42.349452,-71.081075,"0101000020E61000007C61325530C551C0CAC2D7D7BA2C4540"
14105971,1429,79103444,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",81,5,2,0,NA,127,NA,"Tranquil Treetop Loft",2017-07-10 16:18:30,42.309063,-71.11142,"0101000020E6100000B3075A8121C751C0ABB35A608F274540"
6323935,1429,31804748,"Entire home/apt",NA,"Boston",NA,"Back Bay",151,5,2,1,NA,135,NA,"Charming south end",2017-07-10 16:18:30,42.344028,-71.08292,"0101000020E6100000CC0BB08F4EC551C04374081C092C4540"
11211273,1429,18142992,"Entire home/apt",NA,"Boston",NA,"Back Bay",82,5,3,1,NA,129,NA,"spacious studio loft with beautiful views",2017-07-10 16:18:30,42.350557,-71.083363,"0101000020E610000093ACC3D155C551C02331410DDF2C4540"
13054720,1429,72272410,"Entire home/apt",NA,"Boston",NA,"Roxbury",96,5,2,1,NA,135,NA,"Historic Brownstone in South End/Northeastern",2017-07-10 16:18:30,42.335984,-71.084068,"0101000020E6100000F8A8BF5E61C551C059FD1186012B4540"
4975581,1429,12937716,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",74,4.5,6,2,NA,115,NA,"Clean Apartment in Boston",2017-07-10 16:18:16,42.320381,-71.112702,"0101000020E6100000670C738236C751C040A19E3E02294540"
3591359,1429,9662986,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",53,4.5,4,3,NA,110,NA,"Spacious 2.5 bedroom apartment (free parking)",2017-07-10 16:18:01,42.325668,-71.105434,"0101000020E6100000BC783F6EBFC651C047AD307DAF294540"
8439372,1429,44341268,"Entire home/apt",NA,"Boston",NA,"Fenway",53,4.5,5,2,NA,105,NA,"Updated Apartment in Great Location!",2017-07-10 16:17:59,42.344085,-71.096437,"0101000020E6100000F54718062CC651C0A7052FFA0A2C4540"
9896713,1429,19509044,"Entire home/apt",NA,"Boston",NA,"Brighton",169,4.5,5,1,NA,115,NA,"Camp Chandler Pond",2017-07-10 16:17:49,42.347416,-71.167319,"0101000020E6100000F73FC05AB5CA51C0B70DA320782C4540"
